# AEMMT - Frente de Pareto (tabela de nao-dominancia)
# Instancia: c104
# Tamanho: 40 solucoes nao-dominadas
# Formato: distancia<TAB>tempo<TAB>combustivel<TAB>num_veiculos

1133,772607	5416,712431	567,675000	10
1131,909831	5416,902019	567,675000	10
1133,660073	5369,780698	567,825000	10
1134,540089	5369,099731	567,675000	10
1169,180868	5225,942850	588,675000	10
1139,678841	5367,736812	570,075000	10
1164,923078	5228,185277	585,675000	10
1137,278429	5367,834390	568,725000	10
1139,873855	5348,467095	572,700000	10
1165,273729	5227,176213	586,350000	10
1163,599748	5258,240203	586,350000	10
1173,450195	5224,137157	587,250000	10
1164,966399	5259,264309	584,850000	10
1171,071963	5224,552402	585,375000	10
1170,880661	5224,456751	587,400000	10
1164,731775	5228,089626	587,700000	10
1142,274267	5348,369517	574,050000	10
1162,837408	5259,059680	585,675000	10
1142,614735	5348,304346	574,050000	10
1136,940501	5369,002153	569,025000	10
1164,934423	5259,444606	584,850000	10
1140,214323	5348,401924	572,700000	10
1163,631724	5258,059906	586,350000	10
1163,758802	5257,669232	586,350000	10
1167,067169	5228,609999	584,850000	10
1168,673301	5226,405894	588,525000	10
1167,268185	5228,497964	584,850000	10
1138,795367	5350,578533	570,225000	10
1141,195780	5350,480955	571,575000	10
1165,844471	5226,794829	586,350000	10
1141,728339	5350,415784	571,575000	10
1144,820178	5304,170066	573,975000	10
1139,327927	5350,513362	570,225000	10
1150,487777	5303,511974	577,125000	10
1166,096834	5226,708468	588,375000	10
1165,675191	5222,788681	588,900000	10
1180,773236	5221,981263	593,100000	10
1143,487096	5305,370927	576,000000	10
1176,901855	5221,981263	595,050000	10
1179,248806	5221,981263	594,750000	10
